CustomerID,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,ModifiedDate
1,Mr.,Orlando,N.,Gee,NULL,A Bike Store,adventure-works\pamela0,orlando0@adventure-works.com,245-555-0173,01-08-2005
2,Mr.,Keith,NULL,Harris,NULL,Progressive Sports,adventure-works\david8,keith0@adventure-works.com,170-555-0127,01-08-2006
3,Ms.,Donna,F.,Carreras,NULL,Advanced Bike Components,adventure-works\jillian0,donna0@adventure-works.com,279-555-0130,01-09-2005
4,Ms.,Janet,M.,Gates,NULL,Modular Cycle Systems,adventure-works\jillian0,janet1@adventure-works.com,710-555-0173,01-07-2006
5,Mr.,Lucy,NULL,Harrington,NULL,Metropolitan Sports Supply,adventure-works\shu0,lucy0@adventure-works.com,828-555-0186,01-09-2006
6,Ms.,Rosmarie,J.,Carroll,NULL,Aerobic Exercise Company,adventure-works\linda3,rosmarie0@adventure-works.com,244-555-0112,01-09-2007
7,Mr.,Dominic,P.,Gash,NULL,Associated Bikes,adventure-works\shu0,dominic0@adventure-works.com,192-555-0173,01-07-2006
10,Ms.,Kathleen,M.,Garza,NULL,Rural Cycle Emporium,adventure-works\josé1,kathleen0@adventure-works.com,150-555-0127,01-09-2006
11,Ms.,Katherine,NULL,Harding,NULL,Sharp Bikes,adventure-works\josé1,katherine0@adventure-works.com,926-555-0159,01-08-2005
12,Mr.,Johnny,A.,Caprio,Jr.,Bikes and Motorbikes,adventure-works\garrett1,johnny0@adventure-works.com,112-555-0191,01-08-2006
16,Mr.,Christopher,R.,Beck,Jr.,Bulk Discount Store,adventure-works\jae0,christopher1@adventure-works.com,1 (11) 500 555-0132,01-09-2006
18,Mr.,David,J.,Liu,NULL,Catalog Store,adventure-works\michael9,david20@adventure-works.com,440-555-0132,01-08-2005
19,Mr.,John,A.,Beaver,NULL,Center Cycle Shop,adventure-works\pamela0,john8@adventure-works.com,521-555-0195,01-04-2007
20,Ms.,Jean,P.,Handley,NULL,Central Discount Store,adventure-works\david8,jean1@adventure-works.com,582-555-0113,01-09-2005
21,NULL,Jinghao,NULL,Liu,NULL,Chic Department Stores,adventure-works\jillian0,jinghao1@adventure-works.com,928-555-0116,01-09-2006
22,Ms.,Linda,E.,Burnett,NULL,Travel Systems,adventure-works\jillian0,linda4@adventure-works.com,121-555-0121,01-08-2005
23,Mr.,Kerim,NULL,Hanif,NULL,Bike World,adventure-works\shu0,kerim0@adventure-works.com,216-555-0122,01-09-2006
24,Mr.,Kevin,NULL,Liu,NULL,Eastside Department Store,adventure-works\linda3,kevin5@adventure-works.com,926-555-0164,01-09-2006
25,Mr.,Donald,L.,Blanton,NULL,Coalition Bike Company,adventure-works\shu0,donald0@adventure-works.com,357-555-0161,01-09-2006
28,Ms.,Jackie,E.,Blackwell,NULL,Commuter Bicycle Store,adventure-works\josé1,jackie0@adventure-works.com,972-555-0163,01-08-2007
29,Mr.,Bryan,NULL,Hamilton,NULL,Cross-Country Riding Supplies,adventure-works\josé1,bryan2@adventure-works.com,344-555-0144,01-08-2005
30,Mr.,Todd,R.,Logan,NULL,Cycle Merchants,adventure-works\garrett1,todd0@adventure-works.com,783-555-0110,01-09-2006
34,Ms.,Barbara,J.,German,NULL,Cycles Wholesaler & Mfg.,adventure-works\jae0,barbara4@adventure-works.com,1 (11) 500 555-0181,01-07-2007
37,Mr.,Jim,NULL,Geist,NULL,Two Bike Shops,adventure-works\pamela0,jim1@adventure-works.com,724-555-0161,01-09-2006
38,Ms.,Betty,M.,Haines,NULL,Finer Mart,adventure-works\david8,betty0@adventure-works.com,867-555-0114,01-09-2007
39,Ms.,Sharon,J.,Looney,NULL,Fitness Hotel,adventure-works\jillian0,sharon2@adventure-works.com,377-555-0132,01-09-2006
40,Mr.,Darren,NULL,Gehring,NULL,Journey Sporting Goods,adventure-works\jillian0,darren0@adventure-works.com,417-555-0182,01-08-2005
41,Ms.,Erin,M.,Hagens,NULL,Distant Inn,adventure-works\shu0,erin1@adventure-works.com,244-555-0127,01-07-2006
42,Mr.,Jeremy,NULL,Los,NULL,Healthy Activity Store,adventure-works\linda3,jeremy0@adventure-works.com,911-555-0165,01-07-2006
43,Ms.,Elsa,NULL,Leavitt,NULL,Frugal Bike Shop,adventure-works\shu0,elsa0@adventure-works.com,482-555-0174,01-08-2006
46,Mr.,David,O,Lawrence,NULL,Gear-Shift Bikes Limited,adventure-works\josé1,david19@adventure-works.com,653-555-0159,01-12-2006
47,Ms.,Hattie,J.,Haemon,NULL,Greater Bike Store,adventure-works\josé1,hattie0@adventure-works.com,141-555-0172,01-09-2005
